id,title,description,user_id,folder_id,status,created_at,updated_at,desc_un_html,position,modified_at,modified_by,tags,seo_data-meta_title,seo-data-meta_description,seo-data-meta_keywords,id_folder,folder_name,description_folder,created_at_folder,updated_at_folder,category_id,visibility,position_folder,parent_folder_id,language_id,id_category,category_name,description_category,created_at_category,updated_at_category,language_id_category,slug,folder_slug,category_slug,path
196643,What is the size limit for attachments to a ticket reply?,"<p><span id=""docs-internal-guid-bffa19b3-0253-fe35-2d9c-5f16432e0d51""></span></p><p dir=""ltr""><span rel=""tempredactor"" style=""font-size: 16px;""></span>Freshdesk lets you send and receive emails with an attachment size limit of <strong>20 MB</strong>/conversation for accounts on the Blossom and above plans. For Sprout and trial accounts, the attachment size limit is 15 MB. </p><p><br></p><p>By default, the content of the email (excluding attachments) has a 15 MB limit per conversation.</p><p><br></p><p>However, if you are looking to attach bigger files, you can use <strong>Dropbox</strong> as a workaround. Once you integrate Freshdesk with Dropbox, you can hotlink any file from your Dropbox account (with unlimited file size), and use it as an attachment inside Freshdesk. This file can be directly opened from Dropbox whenever someone clicks on it, and will not be stored anywhere on our end. Another alternative is <strong>OneDrive</strong> which could also help you add files with a greater MB value.</p><p><br></p><p><strong>Note:</strong> We do not recommend that you use heavy HTML content inside your tickets. Instead, you can attach them as separate files inside the ticket just like any other attachment. </p>",2635281,8,2,2014-07-04T22:34:20+05:30,2024-06-01T15:10:48+05:30,"   Freshdesk lets you send and receive emails with an attachment size limit of 20 MB/conversation for accounts on the Blossom and above plans. For Sprout and trial accounts, the attachment size limit is 15 MB.      By default, the content of the email (excluding attachments) has a 15 MB limit per conversation.     However, if you are looking to attach bigger files, you can use Dropbox as a workaround. Once you integrate Freshdesk with Dropbox, you can hotlink any file from your Dropbox account (with unlimited file size), and use it as an attachment inside Freshdesk. This file can be directly opened from Dropbox whenever someone clicks on it, and will not be stored anywhere on our end. Another alternative is OneDrive which could also help you add files with a greater MB value.     Note: We do not recommend that you use heavy HTML content inside your tickets. Instead, you can attach them as separate files inside the ticket just like any other attachment.  ",3,2018-04-11T11:21:09+05:30,18784870,"freshdesk_old_sprout,freshdesk_free,css_growth,omnichannel_old_estate,omnichannel_growth",Ticket attachment size limit,"In Freshdesk, you can only attach files up to 15 MB per ticket.",ticket attachment size limit,8,Ticketing Workflow,,2011-03-16T16:38:14+05:30,2017-07-29T01:22:54+05:30,4,1,8,,6,4,Freshdesk FAQ,Frequently asked questions related to Freshdesk,2011-03-16T16:37:03+05:30,2013-04-19T17:44:12+05:30,6,what-is-the-size-limit-for-attachments-to-a-ticket-reply,ticketing-workflow,freshdesk-faq,/freshdesk/freshdesk-faq/ticketing-workflow/what-is-the-size-limit-for-attachments-to-a-ticket-reply.mdx
196889,I want to insert a footer into all my replies. How do I do this?,"<p><span rel=""tempredactor"">You can insert <strong>footers </strong>into all the ticket replies going out of your helpdesk, by adding them in the Agent Reply Template. This template is automatically included in all agent replies, whenever they respond to tickets. </span>To do this</p><ul><li><span style=""line-height: 16px;"">Please log in to your Freshdesk account as an Administrator</span></li><li>Go to <strong dir=""ltr"">Admin &gt; Workflows &gt; Email Notifications</strong></li><li><span style=""line-height: 16px;"">Click on the<strong> Templates</strong> tab <strong>&gt;</strong> <strong>Agent Reply Template</strong> and add the footer message to the content of the template</span></li></ul>",2635281,8,2,2014-07-09T18:15:19+05:30,2024-06-01T15:10:49+05:30," You can insert footers into all the ticket replies going out of your helpdesk, by adding them in the Agent Reply Template. This template is automatically included in all agent replies, whenever they respond to tickets. To do this   Please log in to your Freshdesk account as an Administrator  Go to Admin > Workflows > Email Notifications  Click on the Templates tab > Agent Reply Template and add the footer message to the content of the template  ",10,2021-06-25T17:41:41+05:30,50000066386,"freshdesk_old_sprout,freshdesk_free,css_growth,omnichannel_old_estate,omnichannel_growth",Inserting footer in replies,"The Agent Reply Template is automatically included in all ticket replies. So, agents can insert footers into replies by...","helpdesk, agent reply templates, footers",8,Ticketing Workflow,,2011-03-16T16:38:14+05:30,2017-07-29T01:22:54+05:30,4,1,8,,6,4,Freshdesk FAQ,Frequently asked questions related to Freshdesk,2011-03-16T16:37:03+05:30,2013-04-19T17:44:12+05:30,6,i-want-to-insert-a-footer-into-all-my-replies-how-do-i-do-this,ticketing-workflow,freshdesk-faq,/freshdesk/freshdesk-faq/ticketing-workflow/i-want-to-insert-a-footer-into-all-my-replies-how-do-i-do-this.mdx
196897,What are tags? How can I add/merge tags?,"<p data-identifyelement=""510"">As an agent when you are working on tickets or accessing articles, characterizing them by adding a tag would help to track and segregate them with respect to issues or requests. </p><p data-identifyelement=""511""><br data-identifyelement=""512""></p><p data-identifyelement=""513"">Go to <strong data-identifyelement=""514"" dir=""ltr"">Admin &gt; Agent Productivity &gt; Tags &gt; Add tag</strong> and add the required tags for the helpdesk. Each tag has a <strong data-identifyelement=""515"">character limit of 32</strong>. </p><p data-identifyelement=""516""><br data-identifyelement=""517""></p><p data-identifyelement=""518"">Once a tag is created, you can associate it with Tickets, Contact, and Articles. You can merge two tags by editing one of the tags and giving it the same name as the other.</p><p data-identifyelement=""519""><br data-identifyelement=""520""></p><p data-identifyelement=""521""><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/45887725/original/UIQLz8DDhc97PUr-WGyIj4c3hejTjVJtxA.png?1560315549"" style=""width: 309px;"" class=""fr-fic fr-dib fr-bordered"" data-attachment=""[object Object]"" data-id=""45887725"" data-identifyelement=""522""></p><p data-identifyelement=""523""><br data-identifyelement=""524""></p><p data-identifyelement=""525"">Upon adding a tag:</p><p data-identifyelement=""526""><br data-identifyelement=""527""></p><p data-identifyelement=""528""><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/45887734/original/CIPpey0qHA45opF28OJxiBdEwDRrykpgVg.png?1560315603"" style=""width: 309px;"" class=""fr-fic fr-dib fr-bordered"" data-attachment=""[object Object]"" data-id=""45887734"" data-identifyelement=""529""></p>",2635281,8,2,2014-07-09T19:37:46+05:30,2024-06-01T15:10:50+05:30," As an agent when you are working on tickets or accessing articles, characterizing them by adding a tag would help to track and segregate them with respect to issues or requests.      Go to Admin > Agent Productivity > Tags > Add tag and add the required tags for the helpdesk. Each tag has a character limit of 32.      Once a tag is created, you can associate it with Tickets, Contact, and Articles. You can merge two tags by editing one of the tags and giving it the same name as the other.          Upon adding a tag:      ",4,2021-06-25T17:38:29+05:30,50000066386,"freshdesk_old_sprout,freshdesk_free,css_growth,omnichannel_old_estate,omnichannel_growth",,,,8,Ticketing Workflow,,2011-03-16T16:38:14+05:30,2017-07-29T01:22:54+05:30,4,1,8,,6,4,Freshdesk FAQ,Frequently asked questions related to Freshdesk,2011-03-16T16:37:03+05:30,2013-04-19T17:44:12+05:30,6,what-are-tags-how-can-i-addmerge-tags,ticketing-workflow,freshdesk-faq,/freshdesk/freshdesk-faq/ticketing-workflow/what-are-tags-how-can-i-addmerge-tags.mdx
225139,Can I receive a sound notification when a new ticket comes in?,"<div dir=""ltr""><div dir=""ltr""><p><span dir=""ltr"" style=""font-size: 14px;"">There is a feature called smart notifications for agents within the portal itself which would give real-time audible<strong>&nbsp;notifications&nbsp;</strong>about new tickets and updates on the ones you are working on. You can open the Notification Center by clicking on the bell icon from the navigation bar next to search.&nbsp;</span></p><p><br></p><p><span dir=""ltr"" style=""font-size: 14px;""><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/50008982964/original/Mcfm7grDSI0GYQIHt3vQRgj2_rwUjOlvww.png?1690278791"" style=""width: 298px;"" class=""fr-fic fr-fil fr-dib"" data-id=""50008982964""></span><br></p><p><br></p><p><span dir=""ltr"" style=""font-size: 14px;"">You could choose the ones you want to get these alerts for by clicking on the desktop icon in the notification center. You could enable <strong>desktop notifications&nbsp;</strong>in this window.</span></p><p><br></p><p><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/50008983050/original/p9SJbYc1NxTX7MwYLtnQDKsCUI3N7WhZbA.png?1690279080"" style=""width: 621px;"" class=""fr-fic fr-fil fr-dib"" data-id=""50008983050""></p><p><br><span style=""font-size: 14px;"">Muting is possible by turning on the ""silent notifications"" within the Preferences tab.&nbsp;</span><br><br><span dir=""ltr"" style=""font-size: 14px;"">For detailed information please refer to <a href=""http://%20Built-in%20smart%20notifications%20for%20Agents"">this</a> article.</span></p></div></div>",12453373,8,2,2017-02-23T12:02:28+05:30,2024-06-01T15:07:58+05:30,"   There is a feature called smart notifications for agents within the portal itself which would give real-time audible notifications about new tickets and updates on the ones you are working on. You can open the Notification Center by clicking on the bell icon from the navigation bar next to search.            You could choose the ones you want to get these alerts for by clicking on the desktop icon in the notification center. You could enable desktop notifications in this window.        Muting is possible by turning on the ""silent notifications"" within the Preferences tab.   For detailed information please refer to this article.   ",41,2023-07-25T15:36:04+05:30,50000761347,"freshdesk_old_blossom,freshdesk_growth,css_growth,omnichannel_old_estate,omnichannel_growth",,,,8,Ticketing Workflow,,2011-03-16T16:38:14+05:30,2017-07-29T01:22:54+05:30,4,1,8,,6,4,Freshdesk FAQ,Frequently asked questions related to Freshdesk,2011-03-16T16:37:03+05:30,2013-04-19T17:44:12+05:30,6,can-i-receive-a-sound-notification-when-a-new-ticket-comes-in,ticketing-workflow,freshdesk-faq,/freshdesk/freshdesk-faq/ticketing-workflow/can-i-receive-a-sound-notification-when-a-new-ticket-comes-in.mdx
225140,Can I schedule a recurring ticket in Freshdesk ?,"<div dir=""ltr""><div dir=""ltr""><div dir=""ltr"">
<p><span style=""font-family: Arial; white-space: pre-wrap;""><span style=""font-size: medium;"">As of now, we do not have the ability to schedule recurring tickets. However, as a workaround, you could make use of any third party event scheduler like </span></span><a href=""https://support.freshdesk.com/support/solutions/articles/77059-the-google-calendar-app"" style=""font-size: medium;"" target=""_blank"">Google Calendar</a><span style=""font-family: Arial; white-space: pre-wrap;""><span style=""font-size: medium;""> to trigger an email to the support email address whenever an event is due.</span></span></p>
<p><span style=""font-family: Arial; white-space: pre-wrap;""><span style=""font-size: medium;""><br></span></span></p>
<p><span style=""font-family: Arial; white-space: pre-wrap;""><span style=""font-size: medium;"">In that way, you wouldn't miss out on any notification as they would all come in as new tickets on your portal.</span></span></p>
</div></div></div>",12453373,8,2,2017-02-23T12:03:11+05:30,2024-06-01T15:11:02+05:30,"   
 As of now, we do not have the ability to schedule recurring tickets. However, as a workaround, you could make use of any third party event scheduler like Google Calendar to trigger an email to the support email address whenever an event is due. 
   
 In that way, you wouldn't miss out on any notification as they would all come in as new tickets on your portal. 
   ",42,2017-07-05T15:35:39+05:30,17516362,"freshdesk_old_sprout,freshdesk_free,css_growth,omnichannel_old_estate,omnichannel_growth",,,,8,Ticketing Workflow,,2011-03-16T16:38:14+05:30,2017-07-29T01:22:54+05:30,4,1,8,,6,4,Freshdesk FAQ,Frequently asked questions related to Freshdesk,2011-03-16T16:37:03+05:30,2013-04-19T17:44:12+05:30,6,can-i-schedule-a-recurring-ticket-in-freshdesk-,ticketing-workflow,freshdesk-faq,/freshdesk/freshdesk-faq/ticketing-workflow/can-i-schedule-a-recurring-ticket-in-freshdesk-.mdx
225141,How can customers view their previous conversations after a ticket is closed? ,"<div dir=""ltr""><div dir=""ltr""><p><span style=""font-family: Arial; white-space: pre-wrap;""><span style=""font-size: medium;"">Customers can view the history of tickets if they have access to your customer portal. </span></span></p><p><br></p><p><span style=""font-family: Arial; white-space: pre-wrap;""><span style=""font-size: medium;"">They could log into your portal using the email address used to raise the tickets and view the status of all the tickets raised. You would be able to determine who could view the tickets by changing the permission to <strong>""Logged in Users""</strong> or to <strong>""Everyone""</strong> with a public ticket URL in <strong dir=""ltr"">Admin -&gt; Channels -&gt; Portals -&gt; Settings. </strong></span></span></p><p><br></p><p><span style=""font-family: Arial; white-space: pre-wrap;""><span style=""font-size: medium;"">Customers would also receive an email notification with the ticket details if you have enabled the Requester notifications under </span><strong><span dir=""ltr"" style=""font-size: medium;"">Admin -&gt; Workflows -&gt; Email Notifications.</span></strong></span></p></div></div>",12453373,8,2,2017-02-23T12:03:39+05:30,2024-06-01T15:07:58+05:30,"   Customers can view the history of tickets if they have access to your customer portal.      They could log into your portal using the email address used to raise the tickets and view the status of all the tickets raised. You would be able to determine who could view the tickets by changing the permission to ""Logged in Users"" or to ""Everyone"" with a public ticket URL in Admin -> Channels -> Portals -> Settings.      Customers would also receive an email notification with the ticket details if you have enabled the Requester notifications under Admin -> Workflows -> Email Notifications.   ",38,2021-06-25T18:04:26+05:30,50000066386,"freshdesk_old_blossom,freshdesk_growth,css_growth,omnichannel_old_estate,omnichannel_growth",,,,8,Ticketing Workflow,,2011-03-16T16:38:14+05:30,2017-07-29T01:22:54+05:30,4,1,8,,6,4,Freshdesk FAQ,Frequently asked questions related to Freshdesk,2011-03-16T16:37:03+05:30,2013-04-19T17:44:12+05:30,6,how-can-customers-view-their-previous-conversations-after-a-ticket-is-closed-,ticketing-workflow,freshdesk-faq,/freshdesk/freshdesk-faq/ticketing-workflow/how-can-customers-view-their-previous-conversations-after-a-ticket-is-closed-.mdx
225142,Can I download attachments using a Public Ticket URL without being logged in? ,"<div dir=""ltr""><div dir=""ltr""><p><span style=""font-family: Arial; line-height: 18.4px; white-space: pre-wrap;""><span style=""font-size: medium;"">Kindly note that only logged in users would be able to download attachments, even while using the Public Ticket URL. This would be the default behavior of the system to ensure data security and confidentiality.</span></span></p></div></div>",12453373,8,2,2017-02-23T12:04:35+05:30,2024-06-01T15:07:58+05:30,"   Kindly note that only logged in users would be able to download attachments, even while using the Public Ticket URL. This would be the default behavior of the system to ensure data security and confidentiality.   ",39,2017-07-12T14:57:23+05:30,19223548,"freshdesk_old_blossom,freshdesk_growth,css_growth,omnichannel_old_estate,omnichannel_growth",,,,8,Ticketing Workflow,,2011-03-16T16:38:14+05:30,2017-07-29T01:22:54+05:30,4,1,8,,6,4,Freshdesk FAQ,Frequently asked questions related to Freshdesk,2011-03-16T16:37:03+05:30,2013-04-19T17:44:12+05:30,6,can-i-download-attachments-using-a-public-ticket-url-without-being-logged-in-,ticketing-workflow,freshdesk-faq,/freshdesk/freshdesk-faq/ticketing-workflow/can-i-download-attachments-using-a-public-ticket-url-without-being-logged-in-.mdx
225143,How to remove ticket number that appears in the subject?,"<div data-identifyelement=""510"" dir=""ltr""><div data-identifyelement=""511"" dir=""ltr""><p data-identifyelement=""512""><span data-identifyelement=""513"" style=""font-family: Arial; white-space: pre-wrap;""><span data-identifyelement=""514"" style=""font-size: medium;"">Ticket numbers appear in the subject of email notifications because of the inclusion of ticket ID. </span></span></p><p data-identifyelement=""515""><br data-identifyelement=""516""></p><p data-identifyelement=""517""><span data-identifyelement=""518"" style=""font-family: Arial; white-space: pre-wrap;""><span data-identifyelement=""519"" style=""font-size: medium;"">In order to remove this, please navigate to<strong data-identifyelement=""520"" dir=""ltr""> Admin -&gt; Workflows -&gt; Email notifications</strong> -&gt;to modify the ""Subject"" of the email notification by removing the placeholder for ""Ticket ID"" - {{ticket.id}}.</span></span></p></div></div>",12453373,8,2,2017-02-23T12:04:36+05:30,2024-06-01T15:11:02+05:30,"   Ticket numbers appear in the subject of email notifications because of the inclusion of ticket ID.      In order to remove this, please navigate to Admin -> Workflows -> Email notifications ->to modify the ""Subject"" of the email notification by removing the placeholder for ""Ticket ID"" - {{ticket.id}}.   ",43,2021-06-25T18:07:28+05:30,50000066386,"freshdesk_old_sprout,freshdesk_free,css_growth,omnichannel_old_estate,omnichannel_growth",,,,8,Ticketing Workflow,,2011-03-16T16:38:14+05:30,2017-07-29T01:22:54+05:30,4,1,8,,6,4,Freshdesk FAQ,Frequently asked questions related to Freshdesk,2011-03-16T16:37:03+05:30,2013-04-19T17:44:12+05:30,6,how-to-remove-ticket-number-that-appears-in-the-subject,ticketing-workflow,freshdesk-faq,/freshdesk/freshdesk-faq/ticketing-workflow/how-to-remove-ticket-number-that-appears-in-the-subject.mdx
225144,Every ticket for a particular user goes to Spam. Is there a place where we can “clear” the user's email?,"<div data-identifyelement=""511"" dir=""ltr""><div data-identifyelement=""512"" dir=""ltr""><div data-identifyelement=""513"" dir=""ltr""><p data-identifyelement=""514""><br data-identifyelement=""515""></p><p data-identifyelement=""516"">There are three ways by which a ticket leads to the Spam folder -</p><ul data-identifyelement=""517""><li data-identifyelement=""518"">Manually marked as Spam by an Agent.&nbsp;</li><li data-identifyelement=""519"" dir=""ltr"">A ticket marked as Spam by an Automation rule such as the Ticket Creation or Ticket Updates.&nbsp;</li><li data-identifyelement=""520"">Any ticket raised by a ""deleted contact"" in Freshdesk would go to Spam automatically.</li></ul><p data-identifyelement=""521"" dir=""ltr"">To have this resolved, kindly ensure that there are no automation rules that would mark tickets as Spam automatically and also make sure that the contact is restored from the Deleted list under the Customers tab.<br><br>If you believe that a ticket was not marked as spam from the customer end, you can navigate to your spam folder, unspam it, and check how the ticket was marked as spam in the ""Show activities"" option in the top right corner.&nbsp;</p><p data-identifyelement=""522""><br></p><p data-identifyelement=""522""><span data-identifyelement=""523"" dir=""ltr"" style=""line-height: normal; white-space: pre-wrap;""><img src=""https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/50008957818/original/ZdjkesiFiU-Hc26qEv95oez9wCxbQrQBQg.png?1689936042"" style=""width: auto;"" class=""fr-fic fr-fil fr-dib"" data-id=""50008957818""></span></p></div></div></div>",12453373,8,2,2017-02-23T12:04:37+05:30,2024-06-01T15:11:02+05:30,"       There are three ways by which a ticket leads to the Spam folder -   Manually marked as Spam by an Agent.   A ticket marked as Spam by an Automation rule such as the Ticket Creation or Ticket Updates.   Any ticket raised by a ""deleted contact"" in Freshdesk would go to Spam automatically.   To have this resolved, kindly ensure that there are no automation rules that would mark tickets as Spam automatically and also make sure that the contact is restored from the Deleted list under the Customers tab.  If you believe that a ticket was not marked as spam from the customer end, you can navigate to your spam folder, unspam it, and check how the ticket was marked as spam in the ""Show activities"" option in the top right corner.          ",29,2023-07-21T16:10:54+05:30,50000761347,"freshdesk_old_sprout,freshdesk_free,css_growth,omnichannel_old_estate,omnichannel_growth",,,,8,Ticketing Workflow,,2011-03-16T16:38:14+05:30,2017-07-29T01:22:54+05:30,4,1,8,,6,4,Freshdesk FAQ,Frequently asked questions related to Freshdesk,2011-03-16T16:37:03+05:30,2013-04-19T17:44:12+05:30,6,every-ticket-for-a-particular-user-goes-to-spam-is-there-a-place-where-we-can-clear-the-users-email,ticketing-workflow,freshdesk-faq,/freshdesk/freshdesk-faq/ticketing-workflow/every-ticket-for-a-particular-user-goes-to-spam-is-there-a-place-where-we-can-clear-the-users-email.mdx
225145,"While merging tickets, is it possible to change the content of the auto response?","<div dir=""ltr""><div dir=""ltr"">
<p><span style=""color: rgb(0, 0, 0); font-family: Arial; line-height: normal; white-space: pre-wrap;""><span style=""font-size: medium;"">Although the text that is added as a private note when two or more tickets are merged cannot be modified automatically, it still can be modified by the agent manually, by using the ""Edit Note"" option, while merging the tickets. </span></span></p>
<p><br></p>
<p><span style=""color: rgb(0, 0, 0); font-family: Arial; line-height: normal; white-space: pre-wrap;""><span style=""font-size: medium;"">The Agent will also be provided with the option to add it as a <strong>public note</strong> that would be visible to the requester.</span></span></p>
</div></div>",12453373,8,2,2017-02-23T12:04:38+05:30,2024-06-01T15:11:02+05:30,"  
 Although the text that is added as a private note when two or more tickets are merged cannot be modified automatically, it still can be modified by the agent manually, by using the ""Edit Note"" option, while merging the tickets.  
   
 The Agent will also be provided with the option to add it as a public note that would be visible to the requester. 
  ",18,2017-07-11T21:26:41+05:30,19223548,"freshdesk_old_sprout,freshdesk_free,css_growth,omnichannel_old_estate,omnichannel_growth",,,,8,Ticketing Workflow,,2011-03-16T16:38:14+05:30,2017-07-29T01:22:54+05:30,4,1,8,,6,4,Freshdesk FAQ,Frequently asked questions related to Freshdesk,2011-03-16T16:37:03+05:30,2013-04-19T17:44:12+05:30,6,while-merging-tickets-is-it-possible-to-change-the-content-of-the-auto-response,ticketing-workflow,freshdesk-faq,/freshdesk/freshdesk-faq/ticketing-workflow/while-merging-tickets-is-it-possible-to-change-the-content-of-the-auto-response.mdx
