id,title,description,user_id,folder_id,status,created_at,updated_at,desc_un_html,position,modified_at,modified_by,tags,seo_data-meta_title,seo-data-meta_description,seo-data-meta_keywords,id_folder,folder_name,description_folder,created_at_folder,updated_at_folder,category_id,visibility,position_folder,parent_folder_id,language_id,id_category,category_name,description_category,created_at_category,updated_at_category,language_id_category,slug,folder_slug,category_slug,path
240170,Setting up your support email in Gmail - video guide,"<div class=""wistia_responsive_padding"" style=""padding:56.25% 0 0 0;position:relative;""><div class=""wistia_responsive_wrapper"" style=""height:100%;left:0;position:absolute;top:0;width:100%;""><iframe src=""https://fast.wistia.net/embed/iframe/iuzbalxj02?videoFoam=true"" title=""Setting up support email with Gmail Video"" frameborder=""0"" class=""wistia_embed"" name=""wistia_embed"" allowfullscreen="""" width=""100%"" height=""100%"" sandbox=""allow-scripts allow-forms allow-same-origin allow-presentation""></iframe></div></div><p><br></p><p data-identifyelement=""440"">Don’t let emails slip through the cracks! With <a href=""https://freshdesk.com/?utm_source=videolibrary&amp;utm_medium=portal"" rel=""noreferrer noopener"" target=""_blank"">Freshdesk</a>, you can track issues, prioritize them and work with your team to resolve them faster.<br>Learn how to forward and convert your emails to tickets using Freshdesk <a href=""https://support.freshdesk.com/support/solutions/articles/37541-forward-and-convert-your-support-emails-to-tickets-in-freshdesk?utm_source=videolibrary&amp;utm_medium=portal"" rel=""noreferrer noopener"" target=""_blank"">here</a>.</p>",18784870,275395,2,2019-05-15T12:48:11+05:30,2024-06-05T15:22:16+05:30,"        Don’t let emails slip through the cracks! With Freshdesk, you can track issues, prioritize them and work with your team to resolve them faster. Learn how to forward and convert your emails to tickets using Freshdesk here. ",1,2024-06-05T15:22:16+05:30,50000761347,"2:10,Estate Omnichannel,Forest Omnichannel",,,,275395,Agent Guide,,2019-05-15T11:58:36+05:30,2019-06-14T12:23:45+05:30,161694,1,2,,6,161694,Video Library,,2019-05-15T11:57:57+05:30,2021-05-24T15:48:52+05:30,6,setting-up-your-support-email-in-gmail---video-guide,agent-guide,video-library,/freshdesk/video-library/agent-guide/setting-up-your-support-email-in-gmail---video-guide.mdx
240171,Navigation and Dashboard,"<div class=""wistia_responsive_padding"" style=""padding:56.25% 0 0 0;position:relative;""><div class=""wistia_responsive_wrapper"" style=""height:100%;left:0;position:absolute;top:0;width:100%;""><iframe src=""https://fast.wistia.net/embed/iframe/693xiz1jdb?videoFoam=true"" title=""Navigation and Dashboard (Overview) - Freshdesk Mint Video"" frameborder=""0"" class=""wistia_embed"" name=""wistia_embed"" allowfullscreen="""" width=""100%"" height=""100%"" sandbox=""allow-scripts allow-forms allow-same-origin allow-presentation""></iframe></div></div><p><br></p><p>Navigate faster between the various sections in your helpdesk with the icon-based navigation panel and stay on top of helpdesk metrics that matter the most to you. Read more about team dashboards <a href=""https://support.freshdesk.com/a/solutions/articles/234371-team-dashboards-setup-and-functionality?utm_source=videolibrary&amp;utm_medium=portal"" rel=""noreferrer noopener"" target=""_blank"">here</a>.</p>",18784870,275395,2,2019-05-15T14:23:33+05:30,2020-09-15T22:20:20+05:30,        Navigate faster between the various sections in your helpdesk with the icon-based navigation panel and stay on top of helpdesk metrics that matter the most to you. Read more about team dashboards here. ,1,2019-06-14T16:18:34+05:30,18784870,"2:01,Estate Omnichannel,Forest Omnichannel",,,,275395,Agent Guide,,2019-05-15T11:58:36+05:30,2019-06-14T12:23:45+05:30,161694,1,2,,6,161694,Video Library,,2019-05-15T11:57:57+05:30,2021-05-24T15:48:52+05:30,6,navigation-and-dashboard,agent-guide,video-library,/freshdesk/video-library/agent-guide/navigation-and-dashboard.mdx
240173,Setting up the Feedback Widget,"<div class=""wistia_responsive_padding"" style=""padding:56.25% 0 0 0;position:relative;""><div class=""wistia_responsive_wrapper"" style=""height:100%;left:0;position:absolute;top:0;width:100%;""><iframe src=""https://fast.wistia.net/embed/iframe/mdudkg3xab?videoFoam=true"" title=""Setting up Feedback Widget Video"" frameborder=""0"" class=""wistia_embed"" name=""wistia_embed"" allowfullscreen="""" width=""100%"" height=""100%"" sandbox=""allow-scripts allow-forms allow-same-origin allow-presentation""></iframe></div></div><p><br></p><p>Freshdesk lets you collect feedback and support requests directly from your website, portal or any third party web page. This lets your customers submit a ticket to your helpdesk without having to look around for your self-service portal or remember your support email. Read more <a href=""https://support.freshdesk.com/a/solutions/articles/37690-getting-feedback-from-your-website-with-the-feedback-widget-?utm_source=videolibrary&amp;utm_medium=portal"" rel=""noreferrer noopener"" target=""_blank"">here</a>.</p>",18784870,275395,2,2019-05-15T14:28:53+05:30,2022-07-12T16:05:36+05:30,"        Freshdesk lets you collect feedback and support requests directly from your website, portal or any third party web page. This lets your customers submit a ticket to your helpdesk without having to look around for your self-service portal or remember your support email. Read more here. ",4,2019-06-14T16:12:25+05:30,18784870,"2:27,Estate Omnichannel,Forest Omnichannel",,,,275395,Agent Guide,,2019-05-15T11:58:36+05:30,2019-06-14T12:23:45+05:30,161694,1,2,,6,161694,Video Library,,2019-05-15T11:57:57+05:30,2021-05-24T15:48:52+05:30,6,setting-up-the-feedback-widget,agent-guide,video-library,/freshdesk/video-library/agent-guide/setting-up-the-feedback-widget.mdx
240174,Setting up the help widget,"<div class=""wistia_responsive_padding"" data-identifyelement=""453"" style=""padding:56.25% 0 0 0;position:relative;""><div class=""wistia_responsive_wrapper"" data-identifyelement=""454"" style=""height:100%;left:0;position:absolute;top:0;width:100%;""><iframe src=""https://fast.wistia.net/embed/iframe/zssg1hykko?videoFoam=true"" title=""Setting up the Help Widget Video"" frameborder=""0"" class=""wistia_embed"" name=""wistia_embed"" allowfullscreen="""" width=""100%"" height=""100%"" sandbox=""allow-scripts allow-forms allow-same-origin allow-presentation""></iframe></div></div><p data-identifyelement=""458"" dir=""ltr"">With the help widget, you can embed solution articles and/or a contact form within your website or product. When your customers need help, they can open the widget to search through solution articles or to submit a ticket.&nbsp;</p><p data-identifyelement=""458""><br></p><p data-identifyelement=""458"">To learn more about the help widget, you can</p><ul><li data-identifyelement=""458""><a href=""https://support.freshdesk.com/support/solutions/50000000010"">read our solution articles</a> that will help you set up solution articles and a contact form in the help widget, embed it on your website, and configure advanced functionalities using the <a href=""https://developers.freshdesk.com/widget-api/"">widget's APIs</a></li><li data-identifyelement=""458""><a href=""https://freshdesk.com/webinars/customer-support-widget#"">watch a webinar</a> which walks you through the basics of the widget</li><li data-identifyelement=""458""><a href=""https://developers.freshdesk.com/widget-api/"">refer to our API documentation</a> to make use of the advanced functionalities of the widget</li></ul><p dir=""ltr""><br></p><p dir=""ltr""><em>Please note: Attachments don't work in Widget and Conversation Inbox.</em></p>",18784870,275395,2,2019-05-15T14:29:33+05:30,2024-04-12T15:51:59+05:30,"     With the help widget, you can embed solution articles and/or a contact form within your website or product. When your customers need help, they can open the widget to search through solution articles or to submit a ticket.      To learn more about the help widget, you can   read our solution articles that will help you set up solution articles and a contact form in the help widget, embed it on your website, and configure advanced functionalities using the widget's APIs  watch a webinar which walks you through the basics of the widget  refer to our API documentation to make use of the advanced functionalities of the widget      Please note: Attachments don't work in Widget and Conversation Inbox. ",5,2024-04-12T15:51:59+05:30,50000474582,"2:07,Estate Omnichannel,Forest Omnichannel,free,growth,pro,enterprise",,,,275395,Agent Guide,,2019-05-15T11:58:36+05:30,2019-06-14T12:23:45+05:30,161694,1,2,,6,161694,Video Library,,2019-05-15T11:57:57+05:30,2021-05-24T15:48:52+05:30,6,setting-up-the-help-widget,agent-guide,video-library,/freshdesk/video-library/agent-guide/setting-up-the-help-widget.mdx
240175,Setting up an Email Outreach (Proactive Support),"<div class=""wistia_responsive_padding"" style=""padding:56.25% 0 0 0;position:relative;""><div class=""wistia_responsive_wrapper"" style=""height:100%;left:0;position:absolute;top:0;width:100%;""><iframe src=""https://fast.wistia.net/embed/iframe/lxrcys1nns?videoFoam=true"" title=""Setting up an Email Outreach (Proactive Support) Video"" frameborder=""0"" class=""wistia_embed"" name=""wistia_embed"" allowfullscreen="""" width=""100%"" height=""100%"" sandbox=""allow-scripts allow-forms allow-same-origin allow-presentation""></iframe></div></div><p><br></p><p>With Proactive Outreach in Freshdesk, your support teams can identify, understand, and reach out proactively to customers the moment they run into trouble, in turn creating a memorable brand experience for them. Read more <a href=""https://support.freshdesk.com/a/solutions/articles/239926-proactive-support-email-outreach-beta-?utm_source=videolibrary&amp;utm_medium=portal"" rel=""noreferrer noopener"" target=""_blank"">here</a>.</p>",18784870,275395,2,2019-05-15T14:30:12+05:30,2022-07-12T16:05:36+05:30,"        With Proactive Outreach in Freshdesk, your support teams can identify, understand, and reach out proactively to customers the moment they run into trouble, in turn creating a memorable brand experience for them. Read more here. ",13,2019-06-14T16:14:09+05:30,18784870,"1:52,Estate Omnichannel,Forest Omnichannel,estate,forest,garden",,,,275395,Agent Guide,,2019-05-15T11:58:36+05:30,2019-06-14T12:23:45+05:30,161694,1,2,,6,161694,Video Library,,2019-05-15T11:57:57+05:30,2021-05-24T15:48:52+05:30,6,setting-up-an-email-outreach-proactive-support,agent-guide,video-library,/freshdesk/video-library/agent-guide/setting-up-an-email-outreach-proactive-support.mdx
240176,Customising Ticket Forms,"<div class=""wistia_responsive_padding"" style=""padding:56.25% 0 0 0;position:relative;""><div class=""wistia_responsive_wrapper"" style=""height:100%;left:0;position:absolute;top:0;width:100%;""><iframe src=""https://fast.wistia.net/embed/iframe/yvn6oudb2m?videoFoam=true"" title=""Customising ticket forms Video"" frameborder=""0"" class=""wistia_embed"" name=""wistia_embed"" allowfullscreen="""" width=""100%"" height=""100%"" sandbox=""allow-scripts allow-forms allow-same-origin allow-presentation""></iframe></div></div><p><br></p><p>Customize the ticket form to include different fields specific to the type of your business or your support process using <a href=""https://freshdesk.com/?utm_source=videolibrary&amp;utm_medium=portal"" rel=""noreferrer noopener"" target=""_blank"">Freshdesk</a>. You can collect customer information that is unique to your business by creating custom fields for these details. Read more <a href=""https://support.freshdesk.com/a/solutions/articles/37596-creating-custom-fields-in-your-ticket-form"" rel=""noreferrer noopener"" target=""_blank"">here</a>!</p>",18784870,275395,2,2019-05-15T14:30:50+05:30,2023-05-22T15:12:35+05:30,        Customize the ticket form to include different fields specific to the type of your business or your support process using Freshdesk. You can collect customer information that is unique to your business by creating custom fields for these details. Read more here! ,2,2023-05-22T15:12:34+05:30,50001935967,"2:14,Estate Omnichannel,Forest Omnichannel",,,,275395,Agent Guide,,2019-05-15T11:58:36+05:30,2019-06-14T12:23:45+05:30,161694,1,2,,6,161694,Video Library,,2019-05-15T11:57:57+05:30,2021-05-24T15:48:52+05:30,6,customising-ticket-forms,agent-guide,video-library,/freshdesk/video-library/agent-guide/customising-ticket-forms.mdx
240177,Reordering Automation Rules,"<div class=""wistia_responsive_padding"" style=""padding:56.25% 0 0 0;position:relative;""><div class=""wistia_responsive_wrapper"" style=""height:100%;left:0;position:absolute;top:0;width:100%;""><iframe src=""https://fast.wistia.net/embed/iframe/7cn2vcna3t?videoFoam=true"" title=""Automation - Reordering rules Video"" frameborder=""0"" class=""wistia_embed"" name=""wistia_embed"" allowfullscreen="""" width=""100%"" height=""100%"" sandbox=""allow-scripts allow-forms allow-same-origin allow-presentation""></iframe></div></div><p><br></p><p><br></p>",18784870,275395,2,2019-05-15T14:32:23+05:30,2022-07-12T16:05:36+05:30,          ,11,2019-06-27T16:17:36+05:30,18784870,"0:36,Estate Omnichannel,Forest Omnichannel",,,,275395,Agent Guide,,2019-05-15T11:58:36+05:30,2019-06-14T12:23:45+05:30,161694,1,2,,6,161694,Video Library,,2019-05-15T11:57:57+05:30,2021-05-24T15:48:52+05:30,6,reordering-automation-rules,agent-guide,video-library,/freshdesk/video-library/agent-guide/reordering-automation-rules.mdx
240178,Setting up Scenarios,"<div class=""wistia_responsive_padding"" style=""padding:56.25% 0 0 0;position:relative;""><div class=""wistia_responsive_wrapper"" style=""height:100%;left:0;position:absolute;top:0;width:100%;""><iframe src=""https://fast.wistia.net/embed/iframe/slo81730im?videoFoam=true"" title=""Scenario Automation Video"" frameborder=""0"" class=""wistia_embed"" name=""wistia_embed"" allowfullscreen="""" width=""100%"" height=""100%"" sandbox=""allow-scripts allow-forms allow-same-origin allow-presentation""></iframe></div></div><p><br></p><p>Agents often need to perform a series of actions or tasks before they can push a ticket to the next level - tasks that are not unique to that ticket. For example, with tickets concerning refunds, you'd have to tag the ticket as <strong>Refund</strong>, assign the ticket to the Refunds group, and set the status of the ticket to <strong>Processing Refund</strong>. Scenarios in Freshdesk lets you perform a number of tasks with a single click, right from within a ticket. So every time there's a ticket about a refund, all you have to do is execute that scenario and the ticket is tagged, assigned and has its status changed without you lifting a finger. Read more <a href=""https://support.freshdesk.com/a/solutions/articles/37616-creating-scenario-automations?utm_source=videolibrary&amp;utm_medium=portal"" rel=""noopener noreferrer"" target=""_blank"">here</a>.</p>",18784870,275395,2,2019-05-15T14:34:12+05:30,2022-07-12T16:05:36+05:30,"        Agents often need to perform a series of actions or tasks before they can push a ticket to the next level - tasks that are not unique to that ticket. For example, with tickets concerning refunds, you'd have to tag the ticket as Refund, assign the ticket to the Refunds group, and set the status of the ticket to Processing Refund. Scenarios in Freshdesk lets you perform a number of tasks with a single click, right from within a ticket. So every time there's a ticket about a refund, all you have to do is execute that scenario and the ticket is tagged, assigned and has its status changed without you lifting a finger. Read more here. ",12,2019-07-30T13:35:56+05:30,18784870,"3:02,Estate Omnichannel,Forest Omnichannel",,,,275395,Agent Guide,,2019-05-15T11:58:36+05:30,2019-06-14T12:23:45+05:30,161694,1,2,,6,161694,Video Library,,2019-05-15T11:57:57+05:30,2021-05-24T15:48:52+05:30,6,setting-up-scenarios,agent-guide,video-library,/freshdesk/video-library/agent-guide/setting-up-scenarios.mdx
240179,Setting up your Sandbox,"<div class=""wistia_responsive_padding"" style=""padding:56.25% 0 0 0;position:relative;""><div class=""wistia_responsive_wrapper"" style=""height:100%;left:0;position:absolute;top:0;width:100%;""><iframe src=""https://fast.wistia.net/embed/iframe/lvrhxe2b9l?videoFoam=true"" title=""Setting up your Sandbox Video"" frameborder=""0"" class=""wistia_embed"" name=""wistia_embed"" allowfullscreen="""" width=""100%"" height=""100%"" sandbox=""allow-scripts allow-forms allow-same-origin allow-presentation""></iframe></div></div><p><br></p><p>As a helpdesk administrator, you would want to test out a configuration or feature before enabling it on your Freshdesk account. For example, when you add a new workflow, you need to make sure it doesn't affect your customers or agents before you’ve had a chance to test and fine-tune it completely.</p><p><br></p><p dir=""ltr"">With the Sandbox feature, you can avoid making irreversible changes. The sandbox is a replica of your Freshdesk account. Read more <a href=""https://support.freshdesk.com/a/solutions/articles/233590-setting-up-your-sandbox?utm_source=videolibrary&amp;utm_medium=portal"" rel=""noreferrer noopener"" target=""_blank"">here</a>.</p>",18784870,275395,2,2019-05-15T14:34:42+05:30,2022-07-12T16:05:36+05:30,"        As a helpdesk administrator, you would want to test out a configuration or feature before enabling it on your Freshdesk account. For example, when you add a new workflow, you need to make sure it doesn't affect your customers or agents before you’ve had a chance to test and fine-tune it completely.     With the Sandbox feature, you can avoid making irreversible changes. The sandbox is a replica of your Freshdesk account. Read more here. ",14,2022-04-29T12:44:18+05:30,50000178823,"0:53,Forest Omnichannel,forest",,,,275395,Agent Guide,,2019-05-15T11:58:36+05:30,2019-06-14T12:23:45+05:30,161694,1,2,,6,161694,Video Library,,2019-05-15T11:57:57+05:30,2021-05-24T15:48:52+05:30,6,setting-up-your-sandbox,agent-guide,video-library,/freshdesk/video-library/agent-guide/setting-up-your-sandbox.mdx
240180,Working with the Ticket List page,"<div class=""wistia_responsive_padding"" style=""padding:56.25% 0 0 0;position:relative;""><div class=""wistia_responsive_wrapper"" style=""height:100%;left:0;position:absolute;top:0;width:100%;""><iframe src=""https://fast.wistia.net/embed/iframe/2oaxfp6d6e?videoFoam=true"" title=""Ticket list page - Freshdesk Mint Video"" frameborder=""0"" class=""wistia_embed"" name=""wistia_embed"" allowfullscreen="""" width=""100%"" height=""100%"" sandbox=""allow-scripts allow-forms allow-same-origin allow-presentation""></iframe></div></div><p><br></p><p>The <strong>Tickets </strong>tab lets you filter out and view a list of tickets that you want to get working on. You can filter out tickets by source, type, status, agents assigned to, tags, products, and even the custom fields that you have created. Read more <a href=""https://support.freshdesk.com/a/solutions/articles/37559-working-with-the-ticket-list-view?utm_source=videolibrary&amp;utm_medium=portal"" rel=""noreferrer noopener"" target=""_blank"">here</a>.</p>",18784870,275395,2,2019-05-15T14:36:09+05:30,2020-09-15T22:20:21+05:30,"        The Tickets tab lets you filter out and view a list of tickets that you want to get working on. You can filter out tickets by source, type, status, agents assigned to, tags, products, and even the custom fields that you have created. Read more here. ",2,2019-06-14T16:19:21+05:30,18784870,"1:36,Estate Omnichannel,Forest Omnichannel",,,,275395,Agent Guide,,2019-05-15T11:58:36+05:30,2019-06-14T12:23:45+05:30,161694,1,2,,6,161694,Video Library,,2019-05-15T11:57:57+05:30,2021-05-24T15:48:52+05:30,6,working-with-the-ticket-list-page,agent-guide,video-library,/freshdesk/video-library/agent-guide/working-with-the-ticket-list-page.mdx
